,Channel,Surevy year,Degree,Degree year,Nationality,Career (Aspiration or current),Crypto type,Crypto usage purpose,Crypto knowledge,Crypto usage duration (years),Trade performance,Remittance amount (%),Crypto knowledge source,Influenced family and friends,Intend to use crypto in future
1504,f2f,2021,STEM,PhD,Europe,Engineering,,trade,+++,1-3,+,,friends,N,Y
1505,f2f,2020,Business,1st,Africa,Finance,NFT,trade,+,1-3,,,friends,N,N
1506,f2f,2022,Business,3rd,Europe,Finance,BTC,remittance,+++,1-3,,50,study/research,Y,Y
1507,f2f,2021,STEM,MSc,South America,,"BTC,ALT","remittance,trans",+++,1-3,,50,study/research,N,Y
1508,online,2020,Humanities,1st,South America,Public,,trade,++,1,--,,marketing,N,N
1509,f2f,2021,STEM,PhD,Africa,Medical,"BTC,ETH","trade,remittance",+++,1,-,75,family,Y,Y
1510,f2f,2023,STEM,MSc,Turkey,Technology,BTC,"trade,remittance",+++,4-5,+,100,study/research,Y,Y
1511,f2f,2023,Business,3rd,China,Finance,"BTC,ALT","remittance,trans",++,4-5,,100,friends,Y,Y
1512,f2f,2024,Humanities,PhD,China,Finance,"BTC,ALT","remittance,trans",++,1-3,,25,study/research,Y,N
1513,online,2020,STEM,PhD,South America,Retail,"BTC,ETH","trade,remittance,trans",+++,1-3,++,25,family,N,Y
1514,f2f,2023,STEM,PhD,Turkey,Technology,ETH,"trade,remittance",+++,1,++,50,marketing,Y,Y
1515,online,2020,Business,3rd,India,Technology,"BTC,ALT","remittance,trans",+++,4-5,,75,study/research,Y,Y
1516,f2f,2021,Business,PhD,UK,Medical,"BTC,ALT",trade,+,1-3,--,,friends,Y,N
1517,online,2023,Business,MSc,Turkey,Retail,BTC,"trade,remittance,trans",+++,1-3,--,25,marketing,N,Y
1518,online,2022,STEM,PhD,Turkey,Technology,ETH,"trade,remittance",+++,1-3,+,100,study/research,Y,Y
1519,online,2020,STEM,MSc,Europe,,"BTC,ALT","remittance,trans",++,1,,25,study/research,Y,Y
1520,online,2021,Business,3rd,South America,Finance,"ETH,NFT,ALT","remittance,trans",++,4-5,,75,marketing,N,Y
1521,f2f,2024,Humanities,1st,USA,Public,"BTC,DOGE",trade,+,1,--,,study/research,N,N
1522,online,2020,STEM,2nd,Europe,Finance,,trade,++,1,--,,marketing,Y,N
1523,online,2024,Business,PhD,India,Finance,"BTC,ETH","trade,remittance,trans",,,++,25,family,Y,Y
1524,online,2021,STEM,MSc,ME,Medical,BTC,"trade,remittance",+++,5+,+,25,family,Y,Y
1525,f2f,2023,STEM,3rd,UK,Technology,ETH,trade,+++,5+,+,,study/research,N,Y
1526,online,2020,STEM,MSc,India,Technology,"ETH,DOGE",remittance,++,4-5,,75,friends,Y,Y
1527,f2f,2021,STEM,MSc,Africa,Engineering,"BTC,ETH","trade,remittance",,1,-,,family,N,Y
1528,online,2020,Business,2nd,ME,,"BTC,ETH",trade,++,1-3,,,marketing,Y,N
1529,online,2024,Humanities,3rd,Turkey,Public,ALT,"remittance,trans",+++,1,,75,family,Y,Y
1530,online,2023,Business,PhD,China,Engineering,"BTC,NFT","trade,remittance,trans",+++,4-5,,,study/research,Y,Y
1531,online,2022,Humanities,MSc,China,Public,"BTC,NFT,DOGE",trade,+,1,+,,marketing,Y,Y
1532,online,2021,Humanities,1st,ME,Retail,,trade,+,1,-,,friends,Y,N
1533,f2f,2020,Business,3rd,South America,Technology,"BTC,ALT","remittance,trans",+++,1,,25,marketing,Y,N
1534,online,2022,Business,MSc,USA,Public,"BTC,ALT","remittance,trans",+++,5+,,25,friends,Y,Y
1535,online,2022,Business,Phd,South America,Legal,ALT,"remittance,trans",++,1-3,,25,friends,Y,Y
1536,online,2020,Humanities,MSc,Africa,Engineering,BTC,remittance,+++,1-3,,75,family,Y,N
1537,f2f,2021,STEM,MSc,South America,Technology,ETH,"trade,remittance",+++,4-5,-,,friends,N,N
1538,f2f,2021,Business,3rd,South America,Finance,"BTC,ALT",remittance,+++,1,,25,marketing,Y,Y
1539,online,2021,Business,MSc,ME,Technology,BTC,"trade,remittance",+,4-5,,,family,Y,N
1540,f2f,2023,Humanities,3rd,USA,Engineering,"BTC,DOGE",remittance,++,1-3,,25,marketing,N,Y
1541,online,2021,STEM,2nd,Africa,Medical,"NFT,ALT",trade,+,1,--,,marketing,Y,Y
1542,online,2024,STEM,PhD,Turkey,Finance,"BTC,NFT","trade,remittance",,1,++,100,friends,Y,Y
1543,online,2024,Business,MSc,USA,Legal,"ETH,ALT",trade,+++,1,+,,marketing,Y,N
1544,online,2023,STEM,MSc,USA,Medical,,"trade,remittance",++,4-5,+,25,family,Y,Y
1545,f2f,2023,STEM,2nd,China,Technology,"BTC,DOGE",remittance,++,,,25,friends,Y,Y
1546,online,2024,Humanities,MSc,Turkey,Technology,ALT,"remittance,trans",+++,1-3,,75,study/research,Y,Y
1547,online,2022,STEM,2nd,China,,BTC,remittance,++,4-5,,100,family,Y,Y
1548,online,2023,STEM,MSc,ME,Technology,BTC,"trade,remittance",+++,1,++,25,family,Y,Y
1549,online,2021,STEM,PhD,China,Medical,"BTC,ETH","trade,remittance",+++,1-3,++,25,family,N,N
1550,f2f,2021,Business,MSc,South America,Finance,ALT,"remittance,trans",+++,1,,50,study/research,Y,Y
1551,online,2022,STEM,3rd,ME,,"BTC,ALT",remittance,+++,,,25,marketing,N,Y
1552,f2f,2020,Humanities,3rd,Europe,Finance,"BTC,ETH",remittance,++,5+,,25,marketing,Y,N
1553,f2f,2024,Humanities,MSc,China,Legal,"ETH,ALT","remittance,trans",++,,,75,marketing,Y,N
1554,f2f,2023,STEM,PhD,South America,Finance,ALT,"remittance,trans",++,1,,50,study/research,Y,N
1555,f2f,2024,STEM,MSc,Turkey,Engineering,ALT,"remittance,trans",++,1,,75,study/research,Y,Y
1556,f2f,2020,Business,PhD,ME,Retail,BTC,trade,+,1,+,,marketing,N,Y
1557,f2f,2020,STEM,2nd,USA,Finance,BTC,remittance,+++,1,,50,family,Y,N
1558,f2f,2021,Humanities,PhD,Turkey,Finance,ALT,"remittance,trans",++,,,50,family,Y,N
1559,online,2023,STEM,PhD,Europe,Finance,ETH,"trade,remittance",++,4-5,,100,marketing,Y,Y
1560,online,2020,Business,PhD,Africa,,BTC,trade,++,4-5,--,,marketing,N,N
1561,f2f,2023,STEM,MSc,Europe,Engineering,"ETH,ALT",trade,+++,1-3,,,friends,Y,Y
1562,online,2023,STEM,2nd,Turkey,Medical,"BTC,NFT",trade,+++,1,+,,family,Y,N
1563,online,2023,STEM,PhD,South America,Retail,"BTC,ALT","remittance,trans",+++,1,,50,study/research,Y,Y
1564,f2f,2023,STEM,3rd,Europe,Engineering,BTC,trade,+++,4-5,-,,study/research,Y,Y
1565,f2f,2024,STEM,2nd,Africa,,"BTC,NFT",trade,++,1-3,--,,study/research,N,N
1566,online,2021,STEM,MSc,Europe,Finance,,"remittance,trans",+++,,,50,study/research,Y,Y
1567,online,2021,Business,2nd,ME,,"BTC,ETH",trade,+,5+,-,,friends,Y,N
1568,online,2020,Business,1st,ME,Finance,"BTC,ETH,NFT",trade,++,1,++,,marketing,Y,N
1569,f2f,2020,Business,MSc,USA,,,remittance,+++,1-3,,25,marketing,N,Y
1570,f2f,2024,STEM,1st,Turkey,Engineering,,remittance,++,1-3,,75,friends,N,N
1571,online,2023,Business,MSc,Turkey,Retail,BTC,"trade,remittance",,1-3,-,25,marketing,Y,Y
1572,f2f,2022,Business,2nd,Africa,Engineering,"BTC,ETH","trade,remittance,trans",+++,1-3,+++,50,friends,Y,N
1573,f2f,2020,Business,Phd,Turkey,Finance,BTC,"remittance,trans",+++,1,,50,friends,Y,Y
1574,online,2023,Business,PhD,South America,Engineering,BTC,"trade,remittance,trans",++,4-5,++,100,family,Y,Y
1575,online,2020,STEM,3rd,South America,Legal,"BTC,ALT",remittance,+++,1-3,,25,study/research,N,N
1576,online,2021,Business,MSc,ME,Retail,ETH,trade,++,1-3,+,,friends,Y,Y
1577,online,2021,Business,Phd,South America,Technology,"ETH,ALT","remittance,trans",+++,1,,50,study/research,Y,N
1578,online,2022,STEM,PhD,ME,Technology,ETH,remittance,+,1-3,,75,study/research,N,Y
1579,f2f,2020,STEM,3rd,Africa,Finance,"BTC,ETH,ALT",remittance,+,1-3,,75,family,Y,Y
1580,f2f,2021,STEM,2nd,Europe,Retail,"BTC,NFT,ALT",trade,++,1,--,,friends,Y,Y
1581,online,2020,STEM,MSc,USA,,"BTC,ETH",remittance,+++,1,,25,friends,N,Y
1582,f2f,2021,STEM,2nd,ME,,"BTC,ETH",trade,++,1-3,--,,marketing,N,N
1583,online,2020,Business,1st,USA,Finance,"BTC,ALT",remittance,+,1-31-3,,75,study/research,Y,Y
1584,online,2021,STEM,PhD,China,,"ETH,DOGE",remittance,++,,,75,friends,Y,Y
1585,online,2020,STEM,3rd,USA,Technology,ALT,"remittance,trans",+++,1,,25,study/research,Y,Y
1586,online,2023,STEM,MSc,Europe,Retail,"BTC,NFT","trade,remittance",+,4-5,+,75,study/research,Y,Y
1587,online,2022,STEM,MSc,China,,"BTC,ALT",trade,+++,1,,,study/research,Y,N
1588,online,2023,Business,MSc,China,Public,ALT,"remittance,trans",++,,,50,marketing,N,Y
1589,f2f,2021,STEM,MSc,China,Engineering,"BTC,ETH",trade,+++,4-5,,,friends,Y,Y
1590,online,2022,Business,2nd,Turkey,Finance,"BTC,NFT,DOGE",trade,+,1,--,,marketing,N,Y
1591,f2f,2021,Business,PhD,UK,Technology,ETH,trade,++,5+,,,friends,Y,Y
1592,f2f,2021,STEM,MSc,China,Technology,DOGE,"trade,remittance",+++,1,-,25,family,Y,Y
1593,online,2021,Business,2nd,Africa,Medical,"BTC,NFT,DOGE",trade,++,1,++,,family,Y,N
1594,online,2021,STEM,MSc,China,Retail,"BTC,ETH","trade,remittance",,1-3,-,25,friends,Y,Y
1595,online,2023,STEM,1st,Europe,Retail,"BTC,ALT","remittance,trans",+++,4-5,,50,friends,N,Y
1596,online,2023,STEM,PhD,South America,Finance,ALT,"remittance,trans",+++,1,,100,friends,Y,Y
1597,f2f,2022,STEM,PhD,Turkey,Technology,"BTC,ETH","trade,remittance",+++,1-3,-,,marketing,Y,Y
1598,online,2021,Humanities,3rd,Europe,,"BTC,NFT,DOGE",trade,+,1,,,marketing,Y,N
1599,online,2022,Business,2nd,Africa,Medical,ETH,trade,+++,1,--,,family,Y,N
1600,f2f,2022,Business,1st,Africa,Medical,"BTC,DOGE",trade,+,1,--,,marketing,Y,Y
1601,online,2020,STEM,PhD,Africa,Technology,ETH,"trade,remittance",+++,,--,75,family,Y,Y
1602,online,2020,STEM,PhD,Europe,Retail,"BTC,ETH","trade,remittance",+++,1-3,++,,family,Y,Y
1603,online,2022,Humanities,3rd,South America,Public,"BTC,ALT","remittance,trans",+++,1,,25,marketing,N,Y
1604,f2f,2020,STEM,1st,USA,Legal,"BTC,ETH,ALT",trade,+,1,--,,friends,N,N
1605,online,2024,Business,PhD,USA,Retail,NFT,"trade,remittance,trans",++,,+,25,family,Y,Y
1606,online,2021,Business,3rd,China,Finance,,"trade,remittance,trans",+++,4-5,-,100,family,Y,Y
1607,f2f,2021,STEM,MSc,China,Medical,"BTC,ETH,ALT",remittance,++,,,100,friends,Y,Y
1608,online,2022,STEM,MSc,Africa,Medical,NFT,"trade,remittance",++,5+,++,25,family,Y,Y
1609,online,2024,STEM,MSc,South America,Finance,"BTC,ALT","remittance,trans",+++,5+,,100,friends,Y,Y
1610,online,2020,Business,1st,Europe,Retail,"BTC,NFT",trade,+,5+,--,,marketing,Y,Y
1611,online,2023,STEM,3rd,South America,Engineering,"ETH,DOGE",remittance,+,,,25,friends,Y,Y
1612,online,2021,STEM,3rd,ME,,"BTC,ETH",remittance,+++,,,75,friends,Y,N
1613,online,2023,Business,2nd,Africa,,"BTC,ETH",trade,++,1-3,,,marketing,Y,N
1614,f2f,2021,Humanities,2nd,Africa,,ETH,trade,++,1,--,,marketing,Y,N
1615,online,2024,Business,3rd,China,Technology,"BTC,ETH","trade,remittance,trans",+++,1-3,,50,study/research,N,Y
1616,online,2024,STEM,PhD,China,Technology,"BTC,ETH","trade,remittance,trans",+++,1-3,+,,family,Y,N
1617,online,2022,STEM,MSc,Africa,Finance,BTC,remittance,++,1,,25,friends,Y,Y
1618,f2f,2022,Business,PhD,USA,Finance,BTC,"remittance,trans",+++,1,,50,study/research,Y,N
1619,f2f,2021,STEM,PhD,USA,Technology,ETH,"remittance,trans",+++,1,,50,study/research,N,Y
1620,online,2023,STEM,MSc,ME,Finance,"BTC,NFT,DOGE",trade,++,1,+,,marketing,Y,Y
1621,online,2024,Humanities,3rd,USA,Technology,"BTC,ALT",remittance,+++,,,75,marketing,N,Y
1622,online,2024,Business,1st,Africa,Medical,"ETH,ALT",trade,+,1,+,,marketing,Y,Y
1623,f2f,2021,STEM,MSc,China,Finance,BTC,trade,+++,,-,,friends,Y,N
1624,online,2024,STEM,2nd,Europe,Finance,"BTC,NFT,DOGE",trade,+,4-5,--,,marketing,Y,N
1625,online,2021,STEM,3rd,Europe,Engineering,,trade,+++,4-5,--,,study/research,Y,Y
1626,online,2022,Business,3rd,India,Medical,"BTC,ALT","remittance,trans",++,1,,25,marketing,Y,Y
1627,f2f,2023,Business,Phd,China,Public,"BTC,NFT","remittance,trans",+++,1-3,,50,study/research,Y,N
1628,online,2020,Humanities,MSc,USA,Retail,"BTC,ALT",trade,+,1,--,,friends,Y,N
1629,f2f,2022,STEM,3rd,China,Technology,ETH,remittance,++,1-3,,75,study/research,Y,Y
1630,online,2021,Business,2nd,ME,,"BTC,ETH",remittance,++,1-3,,75,marketing,Y,Y
1631,f2f,2021,STEM,MSc,ME,Engineering,ETH,"trade,remittance",++,1,--,25,marketing,Y,Y
1632,online,2022,Business,PhD,USA,Technology,"BTC,ALT","remittance,trans",+++,4-5,,25,marketing,Y,Y
1633,online,2021,Business,PhD,ME,Technology,BTC,"trade,remittance",+++,4-5,,50,family,Y,Y
1634,online,2023,STEM,MSc,China,Retail,"BTC,ETH","trade,remittance",,,-,,family,Y,Y
1635,online,2020,Business,3rd,China,Engineering,"BTC,ETH",remittance,+++,1,,100,friends,Y,Y
1636,online,2023,STEM,PhD,China,Engineering,BTC,"trade,remittance",+++,4-5,+,75,family,Y,N
1637,f2f,2022,STEM,3rd,China,Medical,BTC,remittance,+++,,,100,friends,Y,Y
1638,online,2022,Business,PhD,Turkey,Engineering,"BTC,DOGE",remittance,++,1-3,,25,friends,Y,Y
1639,online,2023,Business,PhD,South America,Engineering,ETH,"trade,remittance,trans",+++,1-3,++,100,family,Y,Y
1640,f2f,2021,STEM,MSc,ME,Engineering,"BTC,NFT,DOGE",trade,+++,5+,,,study/research,N,Y
1641,online,2023,STEM,Phd,Europe,Retail,ALT,"remittance,trans",++,11,,100,study/research,N,Y
1642,f2f,2023,Business,PhD,Africa,Engineering,BTC,"trade,remittance,trans",,1-3,+,,family,Y,Y
1643,f2f,2021,STEM,PhD,South America,Technology,ALT,"remittance,trans",+++,5+,,75,study/research,Y,Y
1644,online,2023,STEM,3rd,USA,Medical,"ETH,NFT,ALT","remittance,trans",+++,1,,50,study/research,Y,N
1645,online,2024,STEM,MSc,Europe,Retail,ETH,"trade,remittance",+++,4-5,++,75,marketing,Y,Y
1646,online,2022,Humanities,MSc,Turkey,Medical,"BTC,ALT",remittance,++,11-3,,75,friends,Y,Y
1647,online,2022,STEM,2nd,Turkey,Medical,"BTC,ETH",remittance,++,1,,25,friends,Y,Y
1648,online,2022,Business,Phd,India,Finance,"BTC,ALT","remittance,trans",+++,4-5,,50,study/research,Y,Y
1649,online,2020,Humanities,3rd,Africa,Engineering,"BTC,DOGE",remittance,++,1,,75,family,Y,Y
1650,f2f,2024,STEM,3rd,USA,Medical,"BTC,ALT","remittance,trans",+++,,,100,family,Y,N
1651,online,2024,Business,2nd,Europe,Retail,"ETH,DOGE",trade,++,1,--,,friends,Y,N
1652,online,2020,STEM,3rd,USA,Technology,"ETH,NFT,ALT",remittance,++,1-31-3,,100,friends,N,Y
1653,online,2022,STEM,3rd,India,Engineering,"BTC,NFT",remittance,+,1-3,,50,friends,Y,Y
1654,f2f,2024,Business,3rd,USA,,"BTC,ALT","remittance,trans",+++,5+,,25,family,Y,Y
1655,f2f,2020,Humanities,Phd,South America,,BTC,"remittance,trans",+++,1,,25,family,Y,Y
1656,online,2021,Business,3rd,Europe,Public,"BTC,ALT","remittance,trans",++,5+,,50,study/research,Y,Y
1657,online,2022,STEM,MSc,Europe,Retail,NFT,"trade,remittance",+++,,-,,marketing,Y,Y
1658,online,2022,STEM,PhD,Turkey,Medical,"BTC,ETH",remittance,+++,1-3,,75,family,N,N
1659,f2f,2024,Business,MSc,China,Technology,"BTC,ETH","trade,remittance",+++,4-5,,25,family,N,N
1660,f2f,2024,STEM,MSc,China,Technology,BTC,"trade,remittance",,1,--,25,marketing,N,Y
1661,online,2022,Business,Phd,USA,Finance,"BTC,ALT",remittance,+++,1-31-3,,75,marketing,Y,Y
1662,f2f,2023,STEM,PhD,India,Medical,BTC,"trade,remittance",+,4-5,--,50,family,Y,Y
1663,online,2023,STEM,3rd,ME,Finance,"BTC,NFT,DOGE",trade,+,1-3,--,,marketing,Y,Y
1664,f2f,2023,Business,PhD,Europe,Finance,"BTC,ALT",remittance,+++,1-3,,25,marketing,Y,Y
1665,f2f,2020,STEM,MSc,Africa,Medical,"BTC,ETH","trade,remittance",,1,,,marketing,N,Y
1666,online,2020,Humanities,1st,Turkey,Legal,"BTC,NFT,ALT",trade,+,1,+,,friends,Y,N
1667,online,2024,Business,3rd,ME,Engineering,"BTC,ETH",remittance,+++,,,75,friends,N,Y
1668,online,2020,Humanities,MSc,Africa,Finance,"BTC,ETH",trade,++,1-3,++,,marketing,Y,Y
1669,online,2024,Humanities,MSc,Turkey,,"ETH,ALT",trade,++,4-5,,,marketing,N,Y
1670,online,2023,STEM,3rd,India,Legal,"ETH,DOGE","remittance,trans",+++,5+,,25,study/research,Y,N
1671,online,2023,STEM,MSc,Turkey,Technology,ETH,"trade,remittance",,4-5,-,25,study/research,Y,Y
1672,online,2024,Business,PhD,Africa,Engineering,BTC,"trade,remittance,trans",+++,1-3,++,75,marketing,Y,Y
1673,online,2022,Business,3rd,USA,Legal,"BTC,DOGE",remittance,++,4-5,,25,study/research,Y,Y
1674,online,2023,Business,MSc,Turkey,Finance,NFT,"trade,remittance,trans",++,4-5,++,25,family,Y,Y
1675,f2f,2024,Humanities,3rd,USA,Finance,"BTC,ALT",remittance,+++,5+,,50,family,Y,N
1676,f2f,2021,STEM,MSc,South America,Finance,,"trade,remittance",+++,1,,25,study/research,Y,Y
1677,f2f,2020,Humanities,1st,South America,,"BTC,ALT",remittance,+,,,75,marketing,Y,Y
1678,online,2022,Business,2nd,Turkey,Engineering,BTC,remittance,+++,1-3,,75,study/research,Y,Y
1679,online,2020,STEM,PhD,Turkey,Finance,ETH,"trade,remittance",,4-5,++,25,marketing,Y,Y
1680,online,2022,Humanities,3rd,South America,Finance,ALT,"remittance,trans",+++,4-5,,50,study/research,Y,Y
1681,online,2021,STEM,3rd,Africa,Medical,"BTC,ETH",remittance,+,,,100,friends,Y,Y
1682,online,2022,Business,Phd,USA,Finance,"BTC,ALT",remittance,+,1-31-3,,50,marketing,N,N
1683,online,2023,Humanities,PhD,China,Technology,NFT,trade,+,1,+,,friends,Y,N
1684,online,2020,Humanities,MSc,Turkey,Medical,NFT,trade,+,1-3,-,,marketing,N,N
1685,f2f,2020,STEM,MSc,Turkey,Engineering,NFT,"trade,remittance,trans",+++,1-3,+,25,study/research,Y,Y
1686,f2f,2024,Humanities,Phd,China,Legal,"ETH,ALT","remittance,trans",+++,1-3,,25,friends,Y,Y
1687,online,2021,STEM,MSc,China,Finance,"BTC,ETH",trade,++,4-5,++,,study/research,Y,Y
1688,online,2020,STEM,3rd,Turkey,Technology,"ETH,DOGE","remittance,trans",+++,4-5,,25,family,N,Y
1689,online,2020,Business,3rd,Europe,,"BTC,NFT,DOGE",trade,+,5+,-,,marketing,N,Y
1690,f2f,2021,STEM,3rd,China,Engineering,ETH,remittance,+,1-3,,75,friends,Y,Y
1691,online,2023,Humanities,MSc,USA,Technology,ETH,"remittance,trans",++,1,,50,study/research,Y,Y
1692,online,2021,Humanities,1st,South America,Finance,ALT,"remittance,trans",++,5+,,75,marketing,Y,Y
1693,online,2020,Business,MSc,China,Retail,ETH,"trade,remittance,trans",+++,1-3,++,25,friends,N,Y
1694,f2f,2021,Humanities,1st,South America,Legal,"BTC,DOGE",trade,++,1-3,-,,marketing,N,Y
1695,online,2022,STEM,1st,China,Finance,BTC,remittance,+++,1,,100,friends,Y,Y
1696,online,2020,Business,PhD,ME,Finance,,"trade,remittance",+++,,++,100,marketing,Y,Y
1697,online,2023,Humanities,MSc,South America,Finance,BTC,remittance,++,11-3,,75,friends,Y,Y
1698,online,2021,STEM,MSc,China,Retail,DOGE,"trade,remittance",+++,4-5,-,75,family,Y,Y
1699,online,2023,Humanities,1st,India,Legal,"BTC,ETH,ALT",trade,+,1,+,,friends,Y,N
1700,online,2023,STEM,MSc,Turkey,Finance,"BTC,NFT","remittance,trans",+++,4-5,,25,family,Y,Y
1701,online,2021,Humanities,1st,China,Legal,"ETH,NFT,ALT",trade,+,1,,,friends,Y,N
1702,online,2021,Humanities,1st,USA,Retail,"BTC,NFT,DOGE",trade,+,1-3,--,,marketing,Y,N
1703,online,2023,STEM,MSc,Africa,Retail,"BTC,ETH","trade,remittance",+++,1,-,,marketing,Y,Y
1704,f2f,2024,Business,Phd,South America,Retail,"BTC,ETH,ALT","remittance,trans",+++,1,,75,study/research,Y,Y
1705,online,2021,Business,PhD,Europe,Finance,"BTC,ALT","remittance,trans",+++,4-5,,25,study/research,Y,N
1706,online,2021,STEM,MSc,Europe,Engineering,"BTC,NFT,ALT",trade,++,,,,friends,N,Y
1707,online,2021,STEM,2nd,China,Engineering,"ETH,ALT",remittance,+,1-3,,100,marketing,N,Y
1708,online,2020,Humanities,1st,USA,Medical,,trade,++,1,,,study/research,Y,N
1709,online,2021,Humanities,1st,UK,Technology,"ETH,DOGE",trade,++,1,--,,friends,Y,Y
1710,online,2022,Humanities,MSc,China,Technology,ALT,"remittance,trans",+++,1,,75,study/research,Y,Y
1711,online,2021,Humanities,1st,Turkey,Technology,BTC,remittance,++,,,75,friends,N,Y
1712,f2f,2020,STEM,PhD,China,Engineering,"BTC,ETH","trade,remittance",++,5+,,25,friends,Y,Y
1713,online,2022,Humanities,PhD,Turkey,Medical,BTC,remittance,+++,,,75,family,Y,Y
1714,f2f,2021,STEM,PhD,Europe,Engineering,"BTC,ALT",remittance,+++,5+,,25,family,Y,N
1715,online,2022,Humanities,1st,China,Public,"ETH,NFT,ALT",trade,++,1,--,,marketing,Y,Y
1716,online,2022,Humanities,2nd,ME,,DOGE,trade,+,1-3,--,,marketing,N,Y
1717,online,2022,Humanities,1st,ME,Finance,BTC,remittance,++,11-3,,75,marketing,Y,Y
1718,online,2022,Humanities,3rd,South America,Medical,"BTC,ALT",remittance,+,,,75,marketing,Y,Y
1719,f2f,2020,STEM,PhD,ME,,"BTC,NFT,DOGE",trade,+,1,++,,marketing,N,N
1720,online,2021,STEM,MSc,Turkey,Technology,,"trade,remittance",,,--,50,family,Y,Y
1721,online,2020,Business,1st,Africa,Retail,"BTC,ETH,ALT",trade,++,1-3,--,,marketing,N,Y
1722,online,2021,Humanities,Phd,USA,Medical,"ETH,NFT,ALT","remittance,trans",++,1,,50,study/research,Y,Y
1723,online,2021,STEM,MSc,Africa,Technology,DOGE,"trade,remittance",+,5+,+++,75,family,Y,Y
1724,online,2024,STEM,MSc,ME,Engineering,BTC,"trade,remittance",+,1-3,,50,family,Y,Y
1725,online,2020,Business,PhD,Europe,Engineering,BTC,"trade,remittance,trans",+++,,++,75,family,Y,Y
1726,f2f,2024,STEM,MSc,ME,,"ETH,ALT",trade,++,4-5,,,study/research,Y,N
1727,online,2023,Business,Phd,USA,Medical,"BTC,ALT","remittance,trans",+++,11,,75,friends,Y,Y
1728,f2f,2024,Humanities,MSc,South America,Engineering,"ETH,NFT,ALT","remittance,trans",+++,11,,100,study/research,Y,N
1729,online,2021,Business,1st,China,Engineering,"NFT,ALT",remittance,++,,,100,friends,N,Y
1730,online,2021,STEM,MSc,Africa,Technology,,"trade,remittance",+++,1-3,-,25,family,N,Y
1731,f2f,2020,Business,3rd,USA,Public,"BTC,ALT",remittance,+++,1-3,,100,study/research,N,N
1732,online,2024,Business,MSc,UK,Finance,BTC,trade,+++,4-5,+++,,study/research,Y,N
1733,online,2020,STEM,PhD,Europe,Finance,"BTC,ETH",trade,+++,5+,+++,,study/research,N,Y
1734,online,2024,Business,Phd,Turkey,Finance,ETH,"remittance,trans",+++,,,100,study/research,N,N
1735,online,2021,STEM,PhD,Europe,Engineering,"BTC,ETH",trade,+++,5+,++,,study/research,Y,N
1736,online,2024,STEM,PhD,China,Engineering,"ETH,DOGE","remittance,trans",++,5+,,100,marketing,Y,Y
1737,online,2020,Business,PhD,South America,,"ETH,DOGE",remittance,++,1-3,,25,marketing,N,Y
1738,online,2020,Business,MSc,South America,Legal,"BTC,ALT","remittance,trans",+++,,,25,study/research,Y,Y
1739,f2f,2020,Humanities,3rd,ME,Legal,"BTC,NFT,DOGE",trade,+,1,-,,friends,N,N
1740,online,2023,STEM,MSc,Africa,Technology,"BTC,ETH","trade,remittance",+,1-3,+++,25,family,Y,Y
1741,online,2022,Humanities,3rd,USA,Technology,"BTC,ALT",remittance,+++,1-31-3,,25,marketing,Y,N
1742,online,2022,Humanities,1st,USA,Public,"BTC,NFT,DOGE",trade,+,1-3,+,,friends,N,N
1743,online,2024,Business,Phd,China,Public,BTC,"remittance,trans",+++,11,,100,study/research,Y,Y
1744,online,2022,Business,MSc,China,Finance,BTC,"trade,remittance,trans",+++,1-3,++,,marketing,Y,Y
1745,online,2024,STEM,2nd,Turkey,Medical,"BTC,ALT",remittance,++,1-3,,100,friends,Y,Y
1746,online,2020,Business,1st,USA,Legal,"BTC,DOGE",trade,++,1,+,,friends,Y,N
1747,online,2022,Business,PhD,Europe,Retail,"BTC,ETH","trade,remittance,trans",,1-3,-,25,family,Y,Y
1748,online,2024,STEM,MSc,ME,Finance,"BTC,DOGE",trade,+,1-3,--,,study/research,N,N
1749,f2f,2020,STEM,3rd,ME,Medical,"BTC,ETH",remittance,++,1-3,,75,family,Y,Y
1750,f2f,2021,STEM,PhD,Europe,Finance,BTC,trade,+++,5+,+++,,friends,Y,Y
1751,online,2023,Business,2nd,South America,Medical,BTC,remittance,+++,1,,100,friends,N,N
1752,online,2021,Business,MSc,China,Technology,"BTC,ETH","trade,remittance,trans",++,1-3,+,75,marketing,Y,Y
1753,online,2020,Humanities,3rd,Turkey,,NFT,trade,+++,1,--,,marketing,N,N
1754,online,2022,Business,1st,China,Technology,"BTC,ETH",remittance,+++,1,,25,friends,N,Y
1755,online,2021,STEM,MSc,ME,Medical,"BTC,ETH","trade,remittance",++,1-3,++,50,marketing,Y,Y
1756,online,2020,Business,Phd,Europe,Technology,"BTC,ETH",remittance,+++,4-5,,25,marketing,N,N
1757,f2f,2023,Business,MSc,USA,,"BTC,ALT","remittance,trans",+++,4-5,,50,study/research,Y,Y
1758,online,2022,STEM,3rd,China,,ETH,remittance,++,1-3,,25,friends,Y,Y
1759,online,2023,Humanities,MSc,India,Technology,,remittance,++,4-5,,75,friends,Y,Y
1760,f2f,2024,STEM,3rd,Turkey,Engineering,BTC,trade,+++,1,,,study/research,Y,Y
1761,f2f,2024,Business,3rd,South America,Engineering,"ETH,ALT","remittance,trans",++,1-3,,50,marketing,Y,Y
